block,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,waters,translation_20_300cm-1_cross_to_self,translation_20_300cm-1_self_weighted_participation
21,12,22.0,24.0,10,0.06517671666243224,0.780012328746614
22,1,0.0,2.0,10,0.10933479592038199,0.7388714687907073
22,2,2.0,4.0,12,0.1634465447664468,0.74702070647091
22,3,4.0,6.0,10,0.17961689849915702,0.7353829142246151
22,4,6.0,8.0,8,-0.011666268939392578,0.7641046921097353
22,5,8.0,10.0,10,0.18535466354907223,0.6920345935686348
22,6,10.0,12.0,10,0.3838493563193854,0.7499843202304969
22,7,12.0,14.0,10,0.4204800263792101,0.7361511656548194
22,8,14.0,16.0,10,0.2849685451134936,0.7767208972582308
22,9,16.0,18.0,6,0.25406343482727883,0.7849959636681886
22,10,18.0,20.0,12,0.07753985904718452,0.7411026447345097
22,11,20.0,22.0,10,0.24758622693593876,0.7578518639833287
22,12,22.0,24.0,10,0.20338510652981504,0.7775943553769816
23,1,0.0,2.0,10,-0.10369686119679167,0.7239540719269494
23,2,2.0,4.0,12,0.1718870827658483,0.7173961675909488
23,3,4.0,6.0,10,0.07380639315980324,0.7319339706027972
23,4,6.0,8.0,8,0.09164720046670748,0.7519563890621341
23,5,8.0,10.0,10,0.10236346993575142,0.7068102506033435
23,6,10.0,12.0,10,0.09894355592699036,0.7741484115320191
23,7,12.0,14.0,10,0.22888227072243514,0.7596622669622621
23,8,14.0,16.0,10,0.10457136607199666,0.7612257604424993
23,9,16.0,18.0,6,0.08331181572906461,0.7727564126991253
23,10,18.0,20.0,12,0.43470957465336585,0.7834393065803174
23,11,20.0,22.0,10,0.5139287047849103,0.7608547996320552
23,12,22.0,24.0,10,0.21390694552601985,0.7858393880807437
24,1,0.0,2.0,10,8.117993256543913e-05,0.7322687189448907
24,2,2.0,4.0,12,0.05988817253617843,0.720409589331126
24,3,4.0,6.0,10,0.0864530502742608,0.7604147170512106
24,4,6.0,8.0,8,0.1769981013756932,0.7779466241337472
24,5,8.0,10.0,10,-0.07629337122880417,0.6819274640909886
24,6,10.0,12.0,10,-0.035504436471481285,0.7602758307852527
24,7,12.0,14.0,10,0.18577490704403976,0.7553915321838135
24,8,14.0,16.0,10,0.40456693713462194,0.7520474146591254
24,9,16.0,18.0,6,-0.08887575376921406,0.8026297031908567
24,10,18.0,20.0,12,0.10211564709415476,0.7406579060952413
24,11,20.0,22.0,10,0.2242334225516377,0.7684203244209129
24,12,22.0,24.0,10,0.1272982367548143,0.7758161802509623
25,1,0.0,2.0,10,0.09159679917613965,0.7109042385957275
25,2,2.0,4.0,12,0.3413860112516345,0.7202851597103471
25,3,4.0,6.0,10,0.25022020456713767,0.7447851725415295
25,4,6.0,8.0,8,0.24732250594760266,0.7864391395096347
25,5,8.0,10.0,10,-0.03845180324464497,0.7251195011312405
25,6,10.0,12.0,10,0.22802273553499125,0.7307201693516822
25,7,12.0,14.0,10,0.4272436523859436,0.7672175570608347
25,8,14.0,16.0,10,0.40008316610033323,0.7910390576060373
25,9,16.0,18.0,6,0.042448859244963034,0.7835351878786737
25,10,18.0,20.0,12,0.22215785434004287,0.7935313889571024
25,11,20.0,22.0,10,0.04351678553755869,0.7508542125887678
25,12,22.0,24.0,10,0.1748200787576454,0.7791703045078058
26,1,0.0,2.0,10,0.14167098230120106,0.7596655745262745
26,2,2.0,4.0,12,-0.01539282342541177,0.7372921373938267
26,3,4.0,6.0,10,0.08268691619649648,0.7768929636441159
26,4,6.0,8.0,8,-0.12208372138034583,0.8099760143167839
