block,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,waters,translation_20_300cm-1_cross_to_self,translation_20_300cm-1_self_weighted_participation
16,3,4.0,6.0,8,-0.03710622592218345,0.7897232615185252
16,4,6.0,8.0,11,-0.05400241209307152,0.7450147342237866
16,5,8.0,10.0,9,-0.18706404200553134,0.7422261249418561
16,6,10.0,12.0,14,-0.1608255518179206,0.7667623142657614
16,7,12.0,14.0,8,0.08791291986375994,0.7796747635619621
16,8,14.0,16.0,12,-0.08056966842993714,0.7560967362418759
16,9,16.0,18.0,9,-0.07412688194660234,0.7460164903262664
16,10,18.0,20.0,13,-0.24805910697959757,0.7309573837603727
16,11,20.0,22.0,9,-0.0036245563927810973,0.7651543913001033
16,12,22.0,24.0,11,-0.41835506354698393,0.7435135270592963
17,1,0.0,2.0,15,-0.24074447588712555,0.7463176331922614
17,2,2.0,4.0,11,-0.14043216752533885,0.7682312647331955
17,3,4.0,6.0,8,-0.181193241334743,0.7799482197222354
17,4,6.0,8.0,11,-0.002358831431373874,0.7634622415058406
17,5,8.0,10.0,9,0.06595514929760471,0.742404146121006
17,6,10.0,12.0,14,0.1795835673514143,0.7350478942056103
17,7,12.0,14.0,8,-0.07702785063209072,0.7768037073638672
17,8,14.0,16.0,12,-0.13026098483193954,0.7124855082081193
17,9,16.0,18.0,9,-0.19087295736748233,0.7380324413504985
17,10,18.0,20.0,13,-0.0027421367340384386,0.7356391947525704
17,11,20.0,22.0,9,-0.1513404058398741,0.777417587811703
17,12,22.0,24.0,11,-0.18082213586406035,0.6794308047483484
18,1,0.0,2.0,15,-0.11419779780240072,0.7028732417754393
18,2,2.0,4.0,11,0.06329442868112156,0.741702330465222
18,3,4.0,6.0,8,-0.033699575762146265,0.7786031638905789
18,4,6.0,8.0,11,-0.10890433915885941,0.7255238195646642
18,5,8.0,10.0,9,-0.06622431651306249,0.7580793114443809
18,6,10.0,12.0,14,-0.025445728235181833,0.7472365278125166
18,7,12.0,14.0,8,0.011943247496919884,0.7682192721894264
18,8,14.0,16.0,12,-0.22017712991242794,0.7109580992408375
