block,time_min_ps,time_max_ps,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,water_frame_observations,mean_instantaneous_water_count,water_number_density_A-3,water_mass_density_g_cm-3,mean_tetrahedral_q,mean_HB_degree,fraction_degree_eq4,mean_P1_cos_theta,mean_P2
39,380.0,390.0,12,22.0,24.0,9610,9.61,0.031005696905934646,0.927537787003747,0.8925545782848723,3.7998959417273674,0.8162330905306971,0.11415768851742994,0.05245902599274088
40,390.0,400.0,1,0.0,2.0,8324,8.324,0.026856547455254943,0.8034156648303008,0.4520618393921031,2.8361364728495917,0.1826045170591062,0.09688587184259713,-0.05455090437919849
40,390.0,400.0,2,2.0,4.0,12480,12.48,0.04026546278731159,1.2045443893659484,0.8239623862310047,3.6479166666666667,0.7106570512820513,0.011709067275188412,-0.03315869848276697
40,390.0,400.0,3,4.0,6.0,7904,7.904,0.02550145976529734,0.7628781132651006,0.805187431336387,3.632085020242915,0.7135627530364372,0.012959268817052977,-0.3084038352561692
40,390.0,400.0,4,6.0,8.0,9918,9.918,0.03199942787857022,0.9572653248182271,0.8374786582211704,3.728473482556967,0.7484371849163137,-0.023597587073056158,-0.2523226556404506
40,390.0,400.0,5,8.0,10.0,8873,8.873,0.028627840649985234,0.8564040358048124,0.8543001401701514,3.6658401893384425,0.7238814380705512,0.10974964095681715,0.06383192970851154
40,390.0,400.0,6,10.0,12.0,11390,11.39,0.03674868759194544,1.0993397912562621,0.8228300402508949,3.727480245829675,0.7290605794556628,-0.04211170140292414,-0.03821206424256141
40,390.0,400.0,7,12.0,14.0,9093,9.093,0.029337648487582076,0.8776379913865839,0.8420587324772519,3.6822830748927746,0.7159353348729792,0.18866916558834992,-0.10128214869446284
40,390.0,400.0,8,14.0,16.0,10791,10.791,0.034816074434124954,1.0415255212858934,0.8096045047944898,3.6839032527105924,0.7250486516541562,-0.10110389752756577,0.18147515205356715
40,390.0,400.0,9,16.0,18.0,5949,5.949,0.019193849208470885,0.5741854625270855,0.8586851833536315,3.838124054462935,0.8569507480248781,0.32579213970377296,-0.09266484870596464
40,390.0,400.0,10,18.0,20.0,12271,12.271,0.0395911453415946,1.1843721315632656,0.811843700550596,3.7267541357672562,0.7319696846222802,-0.09281816497495765,0.26606943715491055
40,390.0,400.0,11,20.0,22.0,9812,9.812,0.031657429556819015,0.9470344189470099,0.8426788402386387,3.7579494496534855,0.7811863024867509,-0.09917712392242471,2.0435620921020302e-05
40,390.0,400.0,12,22.0,24.0,9658,9.658,0.031160564070501228,0.9321706500397698,0.8970521318520004,3.827086353282253,0.8396148270863533,0.11821794540371677,0.051230416065328424
41,400.0,410.0,1,0.0,2.0,8606,8.606,0.02776639204708362,0.8306337351669352,0.46214205488024307,2.7834069254008833,0.13618405763420868,0.1156677584614749,-0.1347047258937636
41,400.0,410.0,2,2.0,4.0,12308,12.308,0.03971052211428134,1.1879432968201997,0.8531936296162832,3.7557686057848554,0.7914364640883977,0.019771744772423137,-0.05247651386853105
41,400.0,410.0,3,4.0,6.0,7696,7.696,0.024830368718842147,0.7428023734423348,0.8019121408985477,3.6513773388773387,0.7233627858627859,0.006702416115650766,-0.3241755597709962
41,400.0,410.0,4,6.0,8.0,10116,10.116,0.03263825493240738,0.9763758848418216,0.8392928096969013,3.7619612495057333,0.7626532226176355,-0.011567417788587353,-0.2544762452930594
41,400.0,410.0,5,8.0,10.0,8866,8.866,0.028605255855152608,0.8557284099453923,0.8539404382286049,3.6646740356417777,0.7361831716670426,0.0960896587251749,0.07356865684292674
41,400.0,410.0,6,10.0,12.0,11339,11.339,0.03658414122959344,1.094417374280488,0.8256723051159058,3.685333803686392,0.7126730752270923,-0.04280283584263615,-0.042014872316364284
41,400.0,410.0,7,12.0,14.0,8647,8.647,0.027898674416817575,0.8345909723435381,0.8559481777703045,3.6771134497513587,0.7123857985428472,0.2350832301212132,-0.0959016544526261
