r_A,pair,ML_g,ML_sem,AIMD_g,AIMD_sem,difference_ML_minus_AIMD
1.03500,O-H,14.01366389,0.1354472796,14.4043512,0.1398464161,-0.3906873097
1.04500,Si-O,0,0,0,0,0
1.04500,O-O,0,0,0,0,0
1.04500,O-H,8.627771951,0.1036434769,8.853927643,0.1048677618,-0.2261556923
1.05500,Si-O,0,0,0,0,0
1.05500,O-O,0,0,0,0,0
1.05500,O-H,4.856307269,0.07856026424,4.989174773,0.08292225687,-0.1328675039
1.06500,Si-O,0,0,0,0,0
1.06500,O-O,0,0,0,0,0
1.06500,O-H,2.585516151,0.0595030252,2.627239054,0.05843730624,-0.0417229031
1.07500,Si-O,0,0,0,0,0
1.07500,O-O,0,0,0,0,0
1.07500,O-H,1.240025637,0.03817784457,1.314248018,0.04240935282,-0.07422238074
1.08500,Si-O,0,0,0,0,0
1.08500,O-O,0,0,0,0,0
1.08500,O-H,0.6394140559,0.02853350729,0.6708194614,0.02771783516,-0.0314054055
1.09500,Si-O,0,0,0,0,0
1.09500,O-O,0,0,0,0,0
1.09500,O-H,0.2997105041,0.01902564801,0.2873767385,0.01897601044,0.0123337656
1.10500,Si-O,0,0,0,0,0
1.10500,O-O,0,0,0,0,0
1.10500,O-H,0.1295934957,0.01244315764,0.1199042624,0.01181722815,0.009689233325
1.11500,Si-O,0,0,0,0,0
1.11500,O-O,0,0,0,0,0
1.11500,O-H,0.0475810797,0.007560751842,0.06185540361,0.008845475005,-0.01427432391
1.12500,Si-O,0,0,0,0,0
1.12500,O-O,0,0,0,0,0
1.12500,O-H,0.0292118493,0.005768878005,0.03154879724,0.005989041811,-0.002336947944
1.13500,Si-O,0,0,0,0,0
1.13500,O-O,0,0,0,0,0
1.13500,O-H,0.005739874795,0.002560524628,0.01377569951,0.003952769685,-0.008035824713
1.14500,Si-O,0,0,0,0,0
1.14500,O-O,0,0,0,0,0
1.14500,O-H,0.001128010685,0.001127446538,0.001128010685,0.001127446538,0
1.15500,Si-O,0,0,0,0,0
1.15500,O-O,0,0,0,0,0
1.15500,O-H,0.004434250842,0.002212686727,0.003325688132,0.001917204644,0.001108562711
1.16500,Si-O,0,0,0,0,0
1.16500,O-O,0,0,0,0,0
1.16500,O-H,0,0,0,0,0
1.17500,Si-O,0,0,0,0,0
1.17500,O-O,0,0,0,0,0
1.17500,O-H,0,0,0,0,0
1.18500,Si-O,0,0,0,0,0
1.18500,O-O,0,0,0,0,0
1.18500,O-H,0.001053143785,0.001052617082,0.001053143785,0.001052617082,0
1.19500,Si-O,0,0,0,0,0
1.19500,O-O,0,0,0,0,0
1.19500,O-H,0,0,0.001035591798,0.001035073873,-0.001035591798
1.20500,Si-O,0,0,0,0,0
1.20500,O-O,0,0,0,0,0
1.20500,O-H,0,0,0,0,0
1.21500,Si-O,0,0,0,0,0
1.21500,O-O,0,0,0,0,0
1.21500,O-H,0,0,0,0,0
1.22500,Si-O,0,0,0,0,0
