block,time_min_ps,time_max_ps,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,water_frame_observations,mean_instantaneous_water_count,water_number_density_A-3,water_mass_density_g_cm-3,mean_tetrahedral_q,mean_HB_degree,fraction_degree_eq4,mean_P1_cos_theta,mean_P2
27,260.0,270.0,1,0.0,2.0,14922,14.922,0.044488288954991476,1.3308705561460155,0.6661711020304064,3.191328240182281,0.3673100120627262,0.13828718121695283,-0.08975749960532205
27,260.0,270.0,2,2.0,4.0,10688,10.688,0.03186508727723823,0.9532465154864371,0.8711206872535174,3.8635853293413174,0.8366392215568862,-0.1423670258501024,0.1893683012496041
27,260.0,270.0,3,4.0,6.0,8636,8.636,0.025747276733367266,0.7702317466074915,0.8815540206826553,3.8446039833256136,0.8550254747568319,0.0010694357035109679,-0.061496257817174174
27,260.0,270.0,4,6.0,8.0,10472,10.472,0.031221107219988654,0.9339818029728637,0.8811850864158994,3.804430863254393,0.8205691367456074,0.08175238854503405,-0.005514026382178075
27,260.0,270.0,5,8.0,10.0,9588,9.588,0.028585559207911688,0.8551391832413882,0.8777717402164074,3.744993742177722,0.7221526908635795,-0.11714134352745977,-0.12080213544330752
27,260.0,270.0,6,10.0,12.0,12284,12.284,0.036623384366915646,1.0955913357256168,0.841105188720201,3.7613155323998697,0.6818625854770433,-0.04500466463988079,0.07516984468835018
27,260.0,270.0,7,12.0,14.0,10158,10.158,0.030284951025653623,0.9059766190410953,0.8806813460386731,3.726225634967513,0.7689505808229966,0.0035399973945686425,-0.031465489321311074
27,260.0,270.0,8,14.0,16.0,11618,11.618,0.03463777919039612,1.0361918054754327,0.8797339896371342,3.7163022895506974,0.7511619900154932,0.03271937784504247,-0.03856143292434653
27,260.0,270.0,9,16.0,18.0,10025,10.025,0.029888426268180508,0.8941145506878304,0.8730993788590935,3.7779551122194515,0.7991022443890274,-0.00245736712479134,0.23423432194962593
27,260.0,270.0,10,18.0,20.0,11715,11.715,0.034926973938327645,1.0448430884097688,0.8798287575655138,3.8266325224071704,0.7356380708493384,-0.049662224666460746,-0.041783626874513285
