layer_index,z_min_A,z_max_A,wavenumber_cm-1_shifted_plus80,VDOS_area_normalized_mean_unsmoothed,VDOS_SEM_50_blocks
4,16,20,1586.576114,0.0001533064066,4.049554396e-05
4,16,20,1588.612027,0.0001400799444,2.216547146e-05
4,16,20,1590.647941,0.0001275194897,1.113383935e-05
4,16,20,1592.683855,0.0001385392128,1.678863534e-05
4,16,20,1594.719768,0.0001614270423,2.189669211e-05
4,16,20,1596.755682,0.0001755525512,3.110554332e-05
4,16,20,1598.791596,0.0001898925678,4.180327062e-05
4,16,20,1600.827509,0.0002118430719,4.533584038e-05
4,16,20,1602.863423,0.0002334860418,5.138475159e-05
4,16,20,1604.899337,0.0002575883327,6.376249124e-05
4,16,20,1606.935250,0.0002665453239,6.703915836e-05
4,16,20,1608.971164,0.0002570919155,6.144980228e-05
4,16,20,1611.007078,0.0002734620856,5.45181227e-05
4,16,20,1613.042991,0.0002852625239,6.581689013e-05
4,16,20,1615.078905,0.0002472052809,5.494902184e-05
4,16,20,1617.114819,0.0002110296626,3.069150605e-05
4,16,20,1619.150732,0.0002359532797,3.84207675e-05
4,16,20,1621.186646,0.0002896392466,5.865685692e-05
4,16,20,1623.222560,0.0003179792071,6.313889706e-05
4,16,20,1625.258473,0.000318753004,5.605602063e-05
4,16,20,1627.294387,0.0002942547639,5.11144035e-05
4,16,20,1629.330301,0.0002648448816,4.663390869e-05
4,16,20,1631.366214,0.000278462497,4.327377182e-05
4,16,20,1633.402128,0.0003188476501,6.364283978e-05
4,16,20,1635.438042,0.0003508747026,9.283859339e-05
4,16,20,1637.473955,0.0003698631564,0.0001047232681
4,16,20,1639.509869,0.0003471331151,8.428916478e-05
4,16,20,1641.545783,0.0003108366379,5.144955848e-05
4,16,20,1643.581696,0.0003273838038,5.068531607e-05
4,16,20,1645.617610,0.0003755069304,5.562878802e-05
4,16,20,1647.653524,0.0003923480872,5.138479276e-05
4,16,20,1649.689437,0.0003746336144,5.072711226e-05
4,16,20,1651.725351,0.0003704045377,5.517727776e-05
4,16,20,1653.761265,0.0003865843043,6.847310308e-05
4,16,20,1655.797178,0.0003934695942,7.614048122e-05
4,16,20,1657.833092,0.0003992932305,7.718002186e-05
4,16,20,1659.869006,0.0004085357713,7.527193465e-05
4,16,20,1661.904919,0.000387979032,6.287214332e-05
4,16,20,1663.940833,0.0003406296793,3.944433351e-05
4,16,20,1665.976747,0.0003255482332,3.282269983e-05
4,16,20,1668.012660,0.000357922234,3.804216665e-05
4,16,20,1670.048574,0.0003912681854,4.521949677e-05
4,16,20,1672.084488,0.000401385758,4.095694957e-05
4,16,20,1674.120401,0.0004069192957,3.722016072e-05
4,16,20,1676.156315,0.0004275725657,4.010408842e-05
4,16,20,1678.192229,0.0004458619446,4.834889874e-05
4,16,20,1680.228142,0.0004259461761,5.236592744e-05
4,16,20,1682.264056,0.0003906395323,5.130267469e-05
4,16,20,1684.299970,0.0003943402108,4.675096407e-05
4,16,20,1686.335883,0.0004275557439,4.402625846e-05
4,16,20,1688.371797,0.0004733498982,5.05407714e-05
4,16,20,1690.407711,0.0005206113459,5.673130031e-05
4,16,20,1692.443624,0.0005217194306,5.452945124e-05
4,16,20,1694.479538,0.0004910357807,4.989159373e-05
4,16,20,1696.515452,0.0004933817593,5.024571804e-05
4,16,20,1698.551365,0.00053452984,5.83001612e-05
4,16,20,1700.587279,0.0005919146771,6.6100203e-05
4,16,20,1702.623193,0.0006369193622,7.815054872e-05
4,16,20,1704.659106,0.0006345432272,8.808884587e-05
4,16,20,1706.695020,0.000604256062,8.549801529e-05
4,16,20,1708.730934,0.0006076738141,8.171669769e-05
4,16,20,1710.766847,0.0006230553916,7.7744129e-05
4,16,20,1712.802761,0.0006328659832,6.574069283e-05
4,16,20,1714.838675,0.0007439282826,7.922951676e-05
4,16,20,1716.874588,0.0009467233365,0.0001177105776
4,16,20,1718.910502,0.001067745947,0.0001407411376
4,16,20,1720.946416,0.001016509685,0.0001368100936
4,16,20,1722.982329,0.000874265656,0.0001170744869
4,16,20,1725.018243,0.0007904637094,9.724061923e-05
4,16,20,1727.054157,0.0008267623899,9.198827967e-05
4,16,20,1729.090070,0.0009764740374,0.0001020309592
4,16,20,1731.125984,0.001135699301,0.0001150213758
4,16,20,1733.161898,0.00116420771,0.0001127857021
4,16,20,1735.197811,0.001152684712,0.0001229350002
4,16,20,1737.233725,0.001142292662,0.0001240241158
4,16,20,1739.269639,0.001044254224,0.000104090263
4,16,20,1741.305552,0.0009345985956,9.498815445e-05
4,16,20,1743.341466,0.0008564627426,8.268902325e-05
4,16,20,1745.377380,0.0008037719714,7.996845041e-05
4,16,20,1747.413293,0.0008345322218,9.296354597e-05
4,16,20,1749.449207,0.0009116567817,9.896739663e-05
4,16,20,1751.485121,0.0009670514194,9.398057658e-05
4,16,20,1753.521034,0.001007932499,0.0001266989469
4,16,20,1755.556948,0.001000219789,0.0001528325525
4,16,20,1757.592862,0.000972915253,0.0001573351487
4,16,20,1759.628775,0.001013405808,0.0001489875946
4,16,20,1761.664689,0.001041755414,0.0001370669994
4,16,20,1763.700603,0.00097779495,0.0001262309911
4,16,20,1765.736516,0.0009194405415,0.0001131903479
4,16,20,1767.772430,0.0008911469878,9.403072233e-05
4,16,20,1769.808344,0.0008210292483,7.690974262e-05
4,16,20,1771.844257,0.0007563734313,7.336055849e-05
4,16,20,1773.880171,0.0007730091413,8.749048802e-05
4,16,20,1775.916085,0.0008077238278,0.000109680201
4,16,20,1777.951998,0.0007767262584,0.0001075531576
4,16,20,1779.987912,0.0007022728299,9.316803035e-05
4,16,20,1782.023826,0.0006203986183,7.518859679e-05
4,16,20,1784.059739,0.0005456672806,5.871981587e-05
4,16,20,1786.095653,0.0004970948457,5.035419429e-05
4,16,20,1788.131567,0.000467062402,4.661022899e-05
4,16,20,1790.167480,0.0004459263067,4.59236182e-05
4,16,20,1792.203394,0.0004134160703,4.628875181e-05
4,16,20,1794.239308,0.0003686290858,4.716875708e-05
4,16,20,1796.275221,0.0003381327229,4.704743135e-05
4,16,20,1798.311135,0.0003167753276,4.173171513e-05
4,16,20,1800.347049,0.0002968081768,3.601169574e-05
4,16,20,1802.382962,0.0002686275675,2.927423563e-05
4,16,20,1804.418876,0.0002340877909,2.175875169e-05
4,16,20,1806.454790,0.0002166717556,1.899661409e-05
4,16,20,1808.490703,0.0002178616418,2.739080438e-05
4,16,20,1810.526617,0.0002127886074,2.76635012e-05
4,16,20,1812.562531,0.0001969102862,2.283049094e-05
4,16,20,1814.598444,0.0001955563528,2.693516192e-05
4,16,20,1816.634358,0.0002083654636,3.256293168e-05
4,16,20,1818.670272,0.0002057886683,3.474415831e-05
4,16,20,1820.706185,0.0001882170806,2.22921592e-05
4,16,20,1822.742099,0.000183505132,1.908565778e-05
4,16,20,1824.778013,0.0001893596473,2.006957627e-05
4,16,20,1826.813926,0.0001827088047,1.822408848e-05
