system,hexane_index,time_ps,com_z_unwrapped_A,z_msd_from_initial_A2
CaF2,1,54.800000,8.18697093,0.01814246
CaF2,1,54.900000,8.09449241,0.05160733
CaF2,1,55.000000,8.01940496,0.09136105
CaF2,1,55.100000,8.11289729,0.04358390
CaF2,1,55.200000,8.21539536,0.01129321
CaF2,1,55.300000,8.16974719,0.02307898
CaF2,1,55.400000,8.25448530,0.00451309
CaF2,1,55.500000,8.43637173,0.01315766
CaF2,1,55.600000,8.56447896,0.05895868
CaF2,1,55.700000,8.58330887,0.06845758
CaF2,1,55.800000,8.39633528,0.00557567
CaF2,1,55.900000,8.05950263,0.06872904
CaF2,1,56.000000,7.90366190,0.17472648
CaF2,1,56.100000,7.94712357,0.14028119
CaF2,1,56.200000,8.02269549,0.08938269
CaF2,1,56.300000,8.03364055,0.08295801
CaF2,1,56.400000,8.06122509,0.06782888
CaF2,1,56.500000,8.09937405,0.04941321
CaF2,1,56.600000,8.10082605,0.04876978
CaF2,1,56.700000,8.31647176,0.00002697
CaF2,1,56.800000,8.41538249,0.00878299
CaF2,1,56.900000,8.42859170,0.01143335
CaF2,1,57.000000,8.39127508,0.00484558
CaF2,1,57.100000,8.26903268,0.00277015
CaF2,1,57.200000,8.13005048,0.03671607
CaF2,1,57.300000,8.08478815,0.05611058
CaF2,1,57.400000,7.97951851,0.11706413
CaF2,1,57.500000,8.04741552,0.07521271
