layer,depth_min_A,depth_max_A,n_waters,plotted_wavenumber_cm-1,calculated_wavenumber_cm-1,normalized_VDOS
1,0.0,4.0,22,1232.327135511194,1152.327135511194,0.04665548804662955
1,0.0,4.0,22,1232.8361139279393,1152.8361139279393,0.04642684074458708
1,0.0,4.0,22,1233.3450923446846,1153.3450923446846,0.04621328243725725
1,0.0,4.0,22,1233.8540707614297,1153.8540707614297,0.046013358195389056
1,0.0,4.0,22,1234.363049178175,1154.363049178175,0.04582567372064167
1,0.0,4.0,22,1234.8720275949202,1154.8720275949202,0.04565038970182035
1,0.0,4.0,22,1235.3810060116655,1155.3810060116655,0.045489994364207774
1,0.0,4.0,22,1235.8899844284108,1155.8899844284108,0.04534923520006244
1,0.0,4.0,22,1236.398962845156,1156.398962845156,0.0452343123340358
1,0.0,4.0,22,1236.9079412619012,1156.9079412619012,0.04515156785541279
1,0.0,4.0,22,1237.4169196786463,1157.4169196786463,0.045105951908001096
1,0.0,4.0,22,1237.9258980953916,1157.9258980953916,0.04509953986396847
1,0.0,4.0,22,1238.4348765121367,1158.4348765121367,0.045130348373810705
1,0.0,4.0,22,1238.943854928882,1158.943854928882,0.04519166598287283
1,0.0,4.0,22,1239.4528333456274,1159.4528333456274,0.04527207037670132
1,0.0,4.0,22,1239.9618117623725,1159.9618117623725,0.045356233955655224
1,0.0,4.0,22,1240.4707901791178,1160.4707901791178,0.04542651281803824
1,0.0,4.0,22,1240.9797685958629,1160.9797685958629,0.04546517711810825
1,0.0,4.0,22,1241.4887470126082,1161.4887470126082,0.0454569949266376
1,0.0,4.0,22,1241.9977254293535,1161.9977254293535,0.04539175891409571
1,0.0,4.0,22,1242.5067038460986,1162.5067038460986,0.04526627900524175
1,0.0,4.0,22,1243.015682262844,1163.015682262844,0.045085382804303804
1,0.0,4.0,22,1243.524660679589,1163.524660679589,0.044861585412542426
1,0.0,4.0,22,1244.0336390963344,1164.0336390963344,0.044613308944379045
1,0.0,4.0,22,1244.5426175130794,1164.5426175130794,0.04436182200027316
1,0.0,4.0,22,1245.0515959298248,1165.0515959298248,0.044127375234013555
1,0.0,4.0,22,1245.56057434657,1165.56057434657,0.04392525494086777
1,0.0,4.0,22,1246.0695527633152,1166.0695527633152,0.04376258462648869
1,0.0,4.0,22,1246.5785311800605,1166.5785311800605,0.04363662233397495
1,0.0,4.0,22,1247.0875095968056,1167.0875095968056,0.04353502597075418
1,0.0,4.0,22,1247.596488013551,1167.596488013551,0.04343814535853684
1,0.0,4.0,22,1248.1054664302962,1168.1054664302962,0.043322949415999505
1,0.0,4.0,22,1248.6144448470413,1168.6144448470413,0.04316782537739432
1,0.0,4.0,22,1249.1234232637867,1169.1234232637867,0.04295728682021821
1,0.0,4.0,22,1249.6324016805318,1169.6324016805318,0.04268564052455857
1,0.0,4.0,22,1250.141380097277,1170.141380097277,0.042358873468033194
1,0.0,4.0,22,1250.6503585140222,1170.6503585140222,0.041994371895750116
1,0.0,4.0,22,1251.1593369307675,1171.1593369307675,0.04161849709574013
1,0.0,4.0,22,1251.6683153475128,1171.6683153475128,0.04126244298566112
1,0.0,4.0,22,1252.177293764258,1172.177293764258,0.04095712730050106
1,0.0,4.0,22,1252.6862721810032,1172.6862721810032,0.04072807082737714
1,0.0,4.0,22,1253.1952505977483,1173.1952505977483,0.040591255706465344
1,0.0,4.0,22,1253.7042290144936,1173.7042290144936,0.040550795635889175
1,0.0,4.0,22,1254.213207431239,1174.213207431239,0.040598898983246964
1,0.0,4.0,22,1254.722185847984,1174.722185847984,0.04071811054405555
1,0.0,4.0,22,1255.2311642647294,1175.2311642647294,0.040885285311376376
1,0.0,4.0,22,1255.7401426814745,1175.7401426814745,0.04107632221666717
1,0.0,4.0,22,1256.2491210982198,1176.2491210982198,0.04127050497075552
1,0.0,4.0,22,1256.758099514965,1176.758099514965,0.0414534369052289
1,0.0,4.0,22,1257.2670779317102,1177.2670779317102,0.04161799087173903
1,0.0,4.0,22,1257.7760563484555,1177.7760563484555,0.04176329191033389
1,0.0,4.0,22,1258.2850347652006,1178.2850347652006,0.0418923133564044
1,0.0,4.0,22,1258.794013181946,1178.794013181946,0.04200900833088343
1,0.0,4.0,22,1259.302991598691,1179.302991598691,0.04211591198870749
1,0.0,4.0,22,1259.8119700154364,1179.8119700154364,0.042212853237227455
1,0.0,4.0,22,1260.3209484321817,1180.3209484321817,0.04229694056887434
1,0.0,4.0,22,1260.8299268489268,1180.8299268489268,0.04236352615657498
1,0.0,4.0,22,1261.338905265672,1181.338905265672,0.042407575351178665
1,0.0,4.0,22,1261.8478836824172,1181.8478836824172,0.042424856881148824
1,0.0,4.0,22,1262.3568620991625,1182.3568620991625,0.042412589344258685
1,0.0,4.0,22,1262.8658405159076,1182.8658405159076,0.042369507751307454
1,0.0,4.0,22,1263.374818932653,1183.374818932653,0.04229559482445311
1,0.0,4.0,22,1263.8837973493983,1183.8837973493983,0.04219183812530405
1,0.0,4.0,22,1264.3927757661434,1184.3927757661434,0.04206029301798676
1,0.0,4.0,22,1264.9017541828887,1184.9017541828887,0.04190451092522729
1,0.0,4.0,22,1265.4107325996338,1185.4107325996338,0.04173014766784976
1,0.0,4.0,22,1265.919711016379,1185.919711016379,0.04154541505816552
1,0.0,4.0,22,1266.4286894331244,1186.4286894331244,0.04136104739590315
1,0.0,4.0,22,1266.9376678498695,1186.9376678498695,0.041189613943020606
1,0.0,4.0,22,1267.4466462666148,1187.4466462666148,0.04104424272537272
